iter	Passed	Remaining
261	10887	51443
262	10922	51371
263	10955	51292
264	10988	51210
265	11038	51210
266	11072	51133
267	11106	51057
268	11146	51009
269	11194	50998
270	11242	50985
271	11287	50961
272	11326	50905
273	11359	50828
274	11394	50758
275	11428	50683
276	11463	50612
277	11500	50551
278	11538	50496
279	11580	50458
280	11626	50434
281	11668	50396
282	11708	50350
283	11744	50286
284	11790	50264
285	11831	50223
286	11868	50162
287	11908	50113
288	11946	50060
289	11987	50016
290	12023	49954
291	12064	49911
292	12117	49919
293	12181	49966
294	12294	50220
295	12346	50219
296	12392	50194
297	12427	50127
298	12460	50048
299	12497	49988
300	12546	49978
301	12604	50002
302	12657	50002
303	12716	50030
304	12754	49974
305	12796	49931
306	12833	49869
307	12852	49739
308	12888	49676
309	12928	49629
310	12963	49560
311	13002	49509
312	13045	49472
313	13106	49502
314	13174	49562
315	13219	49532
316	13258	49477
317	13296	49422
318	13308	49269
319	13339	49189
320	13376	49128
321	13411	49062
322	13452	49020
323	13490	48964
324	13529	48913
325	13567	48858
326	13603	48796
327	13634	48719
328	13680	48694
329	13717	48635
330	13752	48569
331	13789	48511
332	13820	48435
333	13867	48412
334	13903	48352
335	13939	48290
336	13973	48224
337	14021	48204
338	14121	48362
339	14179	48378
340	14236	48386
341	14275	48335
342	14321	48309
343	14364	48269
344	14401	48213
345	14441	48165
346	14485	48130
347	14523	48076
348	14569	48048
349	14605	47988
350	14647	47948
351	14691	47913
352	14732	47869
353	14774	47829
354	14810	47769
355	14856	47741
356	14890	47676
357	14927	47616
358	14960	47550
359	14994	47483
360	15030	47422
361	15066	47363
362	15107	47321
363	15149	47280
364	15190	47236
365	15233	47197
366	15272	47147
367	15312	47101
368	15355	47064
369	15398	47026
370	15417	46916
371	15451	46852
372	15487	46793
373	15525	46741
374	15573	46719
375	15608	46658
376	15646	46606
377	15682	46549
378	15718	46492
379	15761	46453
380	15801	46408
381	15837	46352
382	15872	46291
383	15907	46232
384	15946	46182
385	15980	46120
386	16016	46061
387	16050	45999
388	16090	45954
389	16129	45906
390	16162	45842
391	16196	45781
392	16203	45641
393	16237	45580
394	16273	45525
395	16310	45471
396	16348	45421
397	16387	45375
398	16420	45311
399	16451	45241
400	16488	45188
401	16527	45143
402	16578	45128
403	16622	45095
404	16656	45033
405	16693	44981
406	16727	44922
407	16774	44895
408	16807	44832
409	16840	44770
410	16868	44696
411	16904	44641
412	16940	44585
413	16974	44526
414	17007	44464
415	17039	44400
416	17077	44351
417	17080	44213
418	17115	44157
419	17151	44103
420	17187	44049
421	17222	43996
422	17262	43951
423	17298	43899
424	17337	43853
425	17372	43798
426	17409	43747
427	17443	43689
428	17478	43634
429	17519	43593
430	17556	43543
431	17601	43514
432	17611	43399
433	17647	43345
434	17691	43314
435	17724	43253
436	17764	43212
437	17801	43162
438	17842	43122
439	17891	43101
440	17933	43064
441	17984	43048
442	18027	43012
443	18067	42971
444	18106	42927
445	18146	42883
446	18189	42848
447	18225	42797
448	18262	42748
449	18301	42704
450	18342	42663
451	18383	42623
452	18424	42583
453	18468	42549
454	18512	42517
455	18555	42483
456	18602	42455
457	18650	42431
458	18702	42415
459	18745	42381
460	18791	42352
461	18830	42307
462	18871	42267
463	18910	42223
464	18948	42175
465	18989	42135
466	19034	42104
467	19078	42069
468	19124	42040
469	19158	41986
470	19196	41939
471	19241	41906
472	19286	41876
473	19336	41854
474	19376	41812
475	19421	41781
476	19463	41743
477	19518	41732
478	19562	41698
479	19607	41665
480	19653	41635
481	19702	41612
482	19753	41592
483	19804	41572
484	19849	41541
485	19900	41521
486	19948	41495
487	19965	41403
488	20015	41381
489	20060	41349
490	20107	41319
491	20141	41265
492	20184	41228
493	20223	41183
494	20260	41135
495	20304	41100
496	20346	41061
497	20390	41027
498	20448	41020
499	20503	41007
500	20537	40951
501	20581	40917
502	20621	40874
503	20659	40826
504	20668	40723
505	20712	40688
506	20763	40667
507	20801	40620
508	20851	40596
509	20938	40644
510	21029	40701
511	21070	40659
512	21111	40618
513	21148	40568
514	21184	40518
515	21188	40405
516	21222	40350
517	21259	40303
518	21299	40259
519	21344	40227
520	21389	40192
521	21438	40165
522	21479	40124
523	21524	40090
524	21576	40070
525	21626	40046
526	21670	40010
527	21714	39973
528	21764	39949
529	21805	39908
530	21850	39873
531	21891	39831
532	21963	39846
533	22008	39813
534	22066	39802
535	22113	39770
536	22153	39727
537	22194	39686
538	22243	39658
539	22282	39612
540	22326	39576
541	22369	39538
542	22411	39499
543	22468	39485
544	22512	39448
545	22558	39415
546	22600	39375
547	22642	39334
548	22681	39289
549	22732	39264
550	22782	39238
551	22822	39194
552	22966	39329
553	23030	39326
554	23090	39315
555	23135	39280
556	23172	39231
557	23219	39198
558	23254	39145
559	23291	39095
560	23323	39038
561	23364	38997
562	23402	38948
563	23446	38911
564	23497	38885
565	23548	38858
566	23595	38827
567	23654	38812
568	23717	38806
569	23768	38780
570	23810	38739
571	23853	38699
572	23902	38670
573	23950	38638
574	23989	38591
575	24036	38558
576	24082	38524
577	24125	38483
578	24160	38431
579	24199	38385
580	24241	38343
581	24283	38303
582	24321	38254
583	24358	38205
584	24403	38169
585	24446	38129
586	24486	38085
587	24524	38037
588	24561	37988
589	24598	37939
590	24636	37892
591	24670	37839
592	24707	37789
593	24756	37760
594	24795	37714
595	24836	37671
596	24885	37640
597	24930	37603
598	24975	37567
599	25022	37533
600	25069	37499
601	25108	37454
602	25167	37438
603	25204	37390
604	25251	37356
605	25296	37317
606	25336	37274
607	25371	37223
608	25412	37179
609	25457	37142
610	25498	37100
611	25544	37065
612	25587	37025
613	25633	36989
614	25672	36943
615	25710	36896
616	25755	36859
617	25798	36818
618	25898	36860
619	25957	36842
620	26004	36807
621	26045	36765
622	26099	36740
623	26162	36728
624	26207	36690
625	26264	36669
626	26314	36639
627	26362	36604
628	26403	36561
629	26449	36526
630	26495	36488
631	26532	36440
632	26574	36397
633	26612	36351
634	26651	36304
635	26690	36259
636	26740	36227
637	26782	36186
638	26820	36137
639	26870	36107
640	26922	36079
641	26965	36038
642	27009	35999
643	27060	35968
644	27107	35932
645	27146	35887
646	27184	35840
647	27220	35790
648	27258	35742
649	27293	35691
650	27335	35650
651	27375	35605
652	27417	35563
653	27459	35521
654	27498	35474
655	27546	35440
656	27582	35391
657	27622	35346
658	27661	35300
659	27710	35268
660	27750	35223
661	27795	35185
662	27838	35145
663	27884	35107
664	27928	35068
665	27975	35032
666	28023	34997
667	28068	34960
668	28114	34922
669	28151	34873
670	28154	34784
671	28191	34735
672	28231	34691
673	28269	34644
674	28306	34596
675	28383	34598
676	28493	34637
677	28541	34603
678	28581	34559
679	28643	34540
680	28688	34501
681	28735	34466
682	28784	34432
683	28946	34532
684	29013	34520
685	29062	34484
686	29148	34493
687	29200	34463
688	29245	34424
689	29283	34376
690	29330	34339
691	29387	34313
692	29402	34238
693	29448	34201
694	29494	34162
695	29538	34121
696	29580	34079
697	29619	34032
698	29763	34106
699	29812	34070
700	29856	34029
701	29901	33990
702	29913	33913
703	29920	33830
704	29962	33787
705	30004	33744
706	30052	33707
707	30092	33662
708	30133	33618
709	30172	33571
710	30222	33538
711	30265	33496
712	30310	33456
713	30353	33414
714	30397	33373
715	30441	33332
716	30485	33292
717	30524	33245
718	30561	33196
719	30606	33157
720	30650	33115
721	30690	33071
722	30737	33032
723	30795	33007
724	30842	32969
725	30987	33036
726	31031	32994
727	31090	32969
728	31132	32926
729	31172	32881
730	31213	32835
731	31273	32811
732	31388	32844
733	31434	32805
734	31497	32782
735	31536	32736
736	31575	32689
737	31614	32642
738	31658	32601
739	31701	32558
740	31742	32513
741	31784	32469
742	31828	32428
743	31868	32382
744	31919	32348
745	31958	32301
746	31996	32253
747	32041	32212
748	32152	32238
749	32217	32217
750	32268	32182
751	32317	32145
752	32359	32102
753	32402	32059
754	32448	32018
755	32495	31979
756	32537	31935
757	32580	31892
758	32619	31845
759	32660	31800
760	32705	31760
761	32743	31712
762	32784	31667
763	32826	31623
764	32868	31579
765	32920	31544
766	32960	31498
767	33002	31455
768	33048	31415
769	33088	31369
770	33129	31324
771	33165	31275
772	33208	31232
773	33250	31188
774	33288	31140
775	33335	31101
776	33419	31096
777	33518	31105
778	33575	31075
779	33619	31033
780	33662	30990
781	33705	30947
782	33748	30904
783	33847	30911
784	33945	30918
785	34021	30904
786	34063	30860
787	34107	30818
788	34149	30773
789	34191	30728
790	34236	30687
791	34275	30639
792	34314	30593
793	34360	30551
794	34409	30514
795	34454	30472
796	34497	30428
797	34544	30388
798	34582	30340
799	34624	30296
800	34673	30258
801	34716	30215
802	34838	30239
803	34916	30225
804	34962	30184
805	35026	30159
806	35067	30113
807	35107	30066
808	35147	30021
809	35190	29977
810	35199	29904
811	35244	29862
812	35285	29816
813	35332	29776
814	35379	29735
815	35424	29694
816	35474	29656
817	35532	29625
818	35578	29583
819	35628	29545
820	35686	29513
821	35733	29473
822	35774	29428
823	35818	29384
824	35863	29342
825	35905	29298
826	35943	29250
827	35988	29207
828	36027	29161
829	36065	29113
830	36107	29068
831	36148	29023
832	36187	28976
833	36231	28932
834	36280	28893
835	36338	28862
836	36459	28879
837	36503	28836
838	36559	28803
839	36602	28759
840	36639	28710
841	36684	28667
842	36725	28622
843	36852	28643
844	36900	28602
845	36935	28553
846	36993	28520
847	37034	28474
848	37074	28428
849	37116	28382
850	37156	28336
851	37193	28287
852	37234	28242
853	37273	28194
854	37312	28147
855	37355	28103
856	37401	28062
857	37451	28023
858	37496	27980
859	37734	28081
860	37804	28057
861	37873	28031
862	37932	27998
863	37978	27956
864	38021	27912
865	38116	27904
866	38320	27977
867	38372	27939
868	38428	27903
869	38493	27874
870	38541	27833
871	38590	27792
872	38632	27746
873	38681	27705
874	38865	27760
875	38982	27768
876	39032	27727
877	39117	27711
878	39160	27666
879	39208	27624
880	39331	27634
881	39384	27596
882	39435	27556
883	39488	27516
884	39542	27478
885	39587	27434
886	39636	27392
887	39686	27351
888	39724	27302
889	39770	27258
890	39812	27211
891	39858	27168
892	39901	27122
893	39944	27076
894	39991	27033
895	40044	26994
896	40081	26944
897	40124	26898
898	40165	26851
899	40319	26879
900	40370	26838
901	40429	26803
902	40476	26760
903	40522	26715
904	40563	26668
905	40613	26627
906	40662	26585
907	40782	26589
908	40849	26558
909	40913	26526
910	40958	26481
911	41003	26436
912	41044	26388
913	41085	26341
914	41120	26290
915	41162	26243
916	41210	26200
917	41262	26160
918	41307	26114
919	41360	26074
920	41411	26033
921	41456	25988
922	41496	25940
923	41529	25888
924	41572	25842
925	41701	25849
926	41738	25799
927	41790	25759
928	41829	25710
929	41871	25663
930	41906	25611
931	41948	25565
932	41985	25515
933	42027	25468
934	42099	25439
935	42190	25422
936	42227	25372
937	42264	25322
938	42301	25272
939	42341	25224
940	42378	25174
941	42414	25124
942	42448	25073
943	42484	25022
944	42518	24971
945	42616	24957
946	42675	24920
947	42708	24868
948	42756	24824
949	42798	24778
950	42831	24726
951	42870	24677
952	42907	24628
953	42948	24580
954	42991	24534
955	43035	24488
956	43069	24437
957	43108	24389
958	43151	24342
959	43198	24299
960	43238	24251
961	43300	24216
962	43346	24171
963	43402	24132
964	43443	24085
965	43484	24038
966	43524	23990
967	43579	23950
968	43585	23884
969	43629	23838
970	43680	23797
971	43718	23748
972	43761	23702
973	43807	23657
974	43852	23612
975	43899	23569
976	43943	23523
977	43989	23479
978	44036	23435
979	44077	23388
980	44117	23340
981	44258	23346
982	44322	23310
983	44374	23269
984	44414	23221
985	44448	23170
986	44513	23136
987	44599	23112
988	44640	23065
989	44697	23026
990	44731	22975
991	44770	22926
992	44813	22880
993	44857	22834
994	44894	22785
995	44933	22737
996	44972	22689
997	45008	22639
998	45044	22589
999	45083	22541
1000	45117	22491
1001	45153	22441
1002	45184	22389
1003	45223	22341
1004	45255	22290
1005	45291	22240
1006	45440	22246
1007	45502	22209
1008	45543	22162
1009	45590	22118
1010	45623	22067
1011	45674	22024
1012	45719	21979
1013	45758	21931
1014	45806	21887
1015	45854	21844
1016	45897	21797
1017	45942	21752
1018	45996	21711
1019	46037	21664
1020	46081	21619
1021	46129	21575
1022	46170	21528
1023	46208	21479
1024	46249	21432
1025	46284	21382
1026	46325	21335
1027	46370	21290
1028	46496	21282
1029	46538	21235
1030	46580	21189
1031	46620	21141
1032	46676	21101
1033	46713	21052
1034	46749	21003
1035	46795	20958
1036	46835	20911
1037	46877	20864
1038	46955	20834
1039	47036	20804
1040	47071	20755
1041	47115	20709
1042	47154	20661
1043	47192	20612
1044	47230	20564
1045	47270	20516
1046	47308	20468
1047	47343	20418
1048	47385	20372
1049	47422	20323
1050	47458	20274
1051	47496	20226
1052	47532	20177
1053	47569	20129
1054	47608	20081
1055	47649	20034
1056	47684	19985
1057	47720	19936
1058	47763	19890
1059	47908	19886
1060	47964	19845
1061	48006	19799
1062	48049	19753
1063	48084	19703
1064	48118	19653
1065	48158	19606
1066	48274	19590
1067	48310	19541
1068	48346	19492
1069	48381	19443
1070	48423	19396
1071	48462	19348
1072	48498	19299
1073	48532	19250
1074	48569	19201
1075	48604	19152
1076	48642	19104
1077	48681	19057
1078	48717	19008
1079	48750	18958
1080	48790	18911
1081	48828	18863
1082	48865	18815
1083	48903	18767
1084	48939	18718
1085	48975	18670
1086	49013	18622
1087	49059	18577
1088	49092	18528
1089	49129	18479
1090	49163	18430
1091	49198	18381
1092	49231	18332
1093	49268	18284
1094	49302	18235
1095	49335	18185
1096	49374	18138
1097	49412	18091
1098	49467	18049
1099	49519	18007
1100	49571	17964
1101	49629	17924
1102	49671	17878
1103	49709	17830
1104	49757	17786
1105	49815	17746
1106	49869	17704
1107	49908	17657
1108	49958	17613
1109	50008	17570
1110	50053	17525
1111	50097	17480
1112	50181	17448
1113	50319	17435
1114	50377	17394
1115	50421	17349
1116	50460	17301
1117	50508	17257
1118	50570	17218
1119	50747	17218
1120	50838	17188
1121	50909	17151
1122	50954	17105
1123	51000	17060
1124	51091	17030
1125	51181	16999
1126	51228	16954
1127	51271	16908
1128	51314	16862
1129	51358	16816
1130	51398	16769
1131	51437	16721
1132	51501	16682
1133	51559	16641
1134	51608	16596
1135	51655	16551
1136	51690	16502
1137	51731	16455
1138	51772	16408
1139	51816	16363
1140	51861	16317
1141	51897	16269
1142	51939	16222
1143	51979	16175
1144	52018	16127
1145	52055	16079
1146	52091	16031
1147	52124	15982
1148	52155	15932
1149	52190	15884
1150	52226	15835
1151	52264	15788
1152	52300	15740
1153	52341	15693
1154	52381	15646
1155	52418	15598
1156	52456	15551
1157	52490	15502
1158	52526	15454
1159	52564	15406
1160	52599	15358
1161	52669	15320
1162	52756	15287
1163	52808	15243
1164	52851	15197
1165	52893	15151
1166	52928	15102
1167	52963	15054
1168	52999	15006
1169	53035	14958
1170	53070	14910
1171	53107	14862
1172	53220	14836
1173	53275	14793
1174	53328	14750
1175	53369	14703
1176	53403	14655
1177	53446	14609
1178	53492	14563
1179	53530	14516
1180	53568	14469
1181	53605	14421
1182	53643	14374
1183	53677	14326
1184	53719	14279
1185	53767	14235
1186	53809	14188
1187	53854	14143
1188	53891	14095
1189	53932	14049
1190	54145	14047
1191	54235	14013
1192	54280	13968
1193	54339	13926
1194	54388	13881
1195	54439	13837
1196	54490	13793
1197	54679	13783
1198	54718	13736
1199	54777	13694
1200	54820	13648
1201	54865	13602
1202	54905	13555
1203	54951	13509
1204	54988	13461
1205	55021	13413
1206	55058	13365
1207	55102	13319
1208	55138	13271
1209	55172	13223
1210	55209	13175
1211	55244	13127
1212	55278	13079
1213	55317	13031
1214	55356	12984
1215	55393	12937
1216	55434	12890
1217	55473	12843
1218	55511	12796
1219	55552	12749
1220	55587	12701
1221	55627	12655
1222	55666	12607
1223	55706	12561
1224	55746	12514
1225	55784	12467
1226	55827	12421
1227	55861	12373
1228	55903	12326
1229	56042	12302
1230	56183	12277
1231	56247	12235
1232	56295	12190
1233	56339	12144
1234	56381	12098
1235	56423	12051
1236	56465	12005
1237	56582	11974
1238	56651	11933
1239	56711	11891
1240	56768	11847
1241	56839	11807
1242	56880	11760
1243	56924	11714
1244	56969	11668
1245	57005	11620
1246	57047	11574
1247	57088	11527
1248	57130	11481
1249	57172	11434
1250	57208	11386
1251	57257	11341
1252	57307	11296
1253	57428	11265
1254	57500	11225
1255	57549	11179
1256	57609	11136
1257	57647	11089
1258	57685	11042
1259	57728	10995
1260	57766	10948
1261	57809	10902
1262	57848	10855
1263	57883	10807
1264	57923	10760
1265	57959	10712
1266	58000	10666
1267	58038	10619
1268	58076	10571
1269	58115	10524
1270	58154	10477
1271	58195	10431
1272	58230	10383
1273	58266	10336
1274	58305	10289
1275	58348	10243
1276	58386	10195
1277	58428	10149
1278	58466	10102
1279	58504	10055
1280	58545	10008
1281	58580	9961
1282	58620	9914
1283	58653	9866
1284	58690	9819
1285	58725	9772
1286	58762	9725
1287	58805	9679
1288	58840	9631
1289	58877	9584
1290	58918	9538
1291	58962	9492
1292	59000	9445
1293	59039	9398
1294	59071	9351
1295	59109	9304
1296	59152	9258
1297	59196	9212
1298	59233	9165
1299	59271	9118
1300	59312	9072
1301	59350	9025
1302	59390	8979
1303	59429	8932
1304	59471	8886
1305	59509	8839
1306	59548	8793
1307	59589	8747
1308	59629	8700
1309	59662	8653
1310	59695	8606
1311	59732	8559
1312	59768	8512
1313	59809	8466
1314	59843	8419
1315	59879	8372
1316	59922	8326
1317	59957	8279
1318	60003	8233
1319	60042	8187
1320	60085	8141
1321	60127	8095
1322	60174	8050
1323	60222	8005
1324	60263	7959
1325	60315	7914
1326	60350	7867
1327	60387	7821
1328	60425	7774
1329	60462	7728
1330	60499	7681
1331	60539	7635
1332	60573	7588
1333	60611	7542
1334	60643	7495
1335	60689	7449
1336	60727	7403
1337	60765	7357
1338	60807	7311
1339	60849	7265
1340	60889	7219
1341	60954	7176
1342	61001	7131
1343	61040	7085
1344	61084	7039
1345	61129	6994
1346	61183	6949
1347	61226	6903
1348	61263	6857
1349	61306	6811
1350	61346	6765
1351	61387	6719
1352	61427	6673
1353	61467	6627
1354	61506	6581
1355	61542	6535
1356	61581	6489
1357	61620	6443
1358	61658	6397
1359	61696	6351
1360	61737	6305
1361	61778	6259
1362	61818	6213
1363	61852	6167
1364	61888	6120
1365	61925	6074
1366	61963	6028
1367	62006	5983
1368	62045	5937
1369	62081	5890
1370	62118	5844
1371	62158	5799
1372	62190	5752
1373	62232	5706
1374	62268	5660
1375	62309	5615
1376	62342	5568
1377	62375	5522
1378	62415	5476
1379	62453	5430
1380	62485	5384
1381	62528	5338
1382	62568	5293
1383	62609	5247
1384	62647	5201
1385	62687	5156
1386	62730	5110
1387	62769	5064
1388	62809	5019
1389	62846	4973
1390	62883	4927
1391	62923	4882
1392	62967	4836
1393	63009	4791
1394	63050	4745
1395	63090	4700
1396	63131	4654
1397	63167	4608
1398	63206	4563
1399	63242	4517
1400	63300	4473
1401	63359	4428
1402	63408	4383
1403	63456	4338
1404	63503	4293
1405	63539	4247
1406	63595	4203
1407	63633	4157
1408	63675	4112
1409	63718	4067
1410	63772	4022
1411	63830	3978
1412	63871	3932
1413	63930	3888
1414	64180	3855
1415	64256	3811
1416	64370	3770
1417	64539	3732
1418	64610	3688
1419	64665	3643
1420	64721	3598
1421	64769	3552
1422	64811	3507
1423	64847	3460
1424	64887	3415
1425	64927	3369
1426	64967	3323
1427	65016	3278
1428	65078	3233
1429	65121	3187
1430	65159	3141
1431	65200	3096
1432	65248	3050
1433	65313	3006
1434	65355	2960
1435	65393	2914
1436	65429	2868
1437	65469	2822
1438	65505	2776
1439	65542	2730
1440	65575	2684
1441	65611	2639
1442	65646	2593
1443	65686	2547
1444	65722	2501
1445	65757	2455
1446	65794	2409
1447	65835	2364
1448	65879	2318
1449	65915	2272
1450	65949	2227
1451	65985	2181
1452	66019	2135
1453	66053	2089
1454	66085	2043
1455	66123	1998
1456	66162	1952
1457	66201	1907
1458	66233	1861
1459	66273	1815
1460	66307	1770
1461	66341	1724
1462	66377	1678
1463	66410	1633
1464	66457	1587
1465	66493	1542
1466	66523	1496
1467	66558	1450
1468	66590	1405
1469	66628	1359
1470	66662	1314
1471	66706	1268
1472	66738	1223
1473	66775	1177
1474	66812	1132
1475	66846	1086
1476	66878	1041
1477	66908	995
1478	66943	950
1479	66981	905
1480	67015	859
1481	67054	814
1482	67091	769
1483	67124	723
1484	67157	678
1485	67188	633
1486	67221	587
1487	67253	542
1488	67287	497
1489	67328	451
1490	67374	406
1491	67406	361
1492	67437	316
1493	67468	270
1494	67500	225
1495	67534	180
1496	67571	135
1497	67605	90
1498	67636	45
1499	67669	0
