iter	Logloss
0	0.6878933149
1	0.6806325658
2	0.6733598889
3	0.6682353226
4	0.660754351
5	0.6539584043
6	0.6480286575
7	0.6415955631
8	0.6354745342
9	0.6299844162
10	0.6236626885
11	0.618887289
12	0.613402256
13	0.6084575464
14	0.6029948621
15	0.5984983817
16	0.5928122105
17	0.588908912
18	0.585587621
19	0.5814391148
20	0.5759867259
21	0.572063527
22	0.5679573326
23	0.5634733449
24	0.5598436295
25	0.5560625582
26	0.5526704546
27	0.5485297954
28	0.5442556092
29	0.539075799
30	0.5357992053
31	0.5318254708
32	0.5277371051
33	0.5241328145
34	0.5215383266
35	0.5176360639
36	0.514681078
37	0.5122020688
38	0.5080646741
39	0.504786668
40	0.5021051081
41	0.4992271184
42	0.4961403317
43	0.493729938
44	0.4913169704
45	0.4879880206
46	0.4849519892
47	0.4825185563
48	0.4802381742
49	0.4774657444
50	0.4749296079
51	0.4721783654
52	0.4700332368
53	0.4674305565
54	0.4647324548
55	0.4613080523
56	0.4592752007
57	0.4571079118
58	0.4556413106
59	0.4545432745
60	0.452241862
61	0.449990891
62	0.4485601043
63	0.4458181214
64	0.443962176
65	0.4413282954
66	0.4400478915
67	0.4382009546
68	0.4361769232
69	0.4343337216
70	0.4315556418
71	0.4299392543
72	0.428719242
73	0.4265610243
74	0.4240793471
75	0.4229104041
76	0.4220671179
77	0.4203081633
78	0.4179893929
79	0.4164482438
80	0.414823193
81	0.4133085673
82	0.4114829119
83	0.410231511
84	0.4087001552
85	0.4067083286
86	0.4054132975
87	0.4037016455
88	0.4025856237
89	0.4007104999
90	0.3998322781
91	0.3974904685
92	0.3961920475
93	0.3949195535
94	0.3930007054
95	0.3907152383
96	0.3891782011
97	0.3872246372
98	0.3860718907
99	0.3849703704
100	0.3838517747
101	0.3817582804
102	0.3802388208
103	0.3787797843
104	0.3768874909
105	0.3746167138
106	0.3736899966
107	0.372065448
108	0.3705217564
109	0.3690513887
110	0.3683253075
111	0.3673024156
112	0.3657389493
113	0.3645227036
114	0.3636590776
115	0.3628490319
116	0.3613404014
117	0.3605241407
118	0.3591172407
119	0.357767311
120	0.3559506014
121	0.3545834079
122	0.3543624635
123	0.3527380091
124	0.3517663749
125	0.350772643
126	0.348921249
127	0.3487691398
128	0.3478361763
129	0.346798061
130	0.3460437615
131	0.3449152784
132	0.3440373705
133	0.3427086281
134	0.3416572354
135	0.3407616558
136	0.3394626698
137	0.338633477
138	0.3380127674
139	0.3370891577
140	0.3363193208
141	0.3348666248
142	0.3342606364
143	0.3328967702
144	0.330901428
145	0.3294841069
146	0.3288862482
147	0.3276107409
148	0.3272130787
149	0.326030356
150	0.3252049613
151	0.3244091032
152	0.3235453202
153	0.3225298361
154	0.3214649777
155	0.3206105171
156	0.3196911449
157	0.3190874479
158	0.3175253626
159	0.3171297407
160	0.3156545076
161	0.3149975128
162	0.3145237332
163	0.3138538376
164	0.3134246298
165	0.3129053367
166	0.3122338089
167	0.3114746442
168	0.310501158
169	0.3099872638
170	0.3090501884
171	0.3083140314
172	0.3072424559
173	0.3066492113
174	0.3061946729
175	0.3058423044
176	0.3044768687
177	0.3031473102
178	0.3025309322
179	0.3017679066
180	0.3004119189
181	0.3003061393
182	0.2997172577
183	0.2989827958
184	0.2986528388
185	0.2977478425
186	0.2968881714
187	0.2961774393
188	0.2955122834
189	0.2950294639
190	0.2942607255
191	0.2935141476
192	0.2924741176
193	0.2920360268
194	0.2915162629
195	0.2909965304
196	0.2904034114
197	0.2896619811
198	0.2889867809
199	0.2886354796
200	0.2878122193
201	0.2874102568
202	0.286913438
203	0.2868777178
204	0.2862847557
205	0.2856048471
206	0.285012858
207	0.2842726834
208	0.2833665571
209	0.2822411187
210	0.2818715179
211	0.2809662078
212	0.2804677254
213	0.2794658011
214	0.279149812
215	0.2781802808
216	0.277124996
217	0.2763378011
218	0.2759569318
219	0.2759241621
220	0.2750246275
221	0.2746906841
222	0.274122111
223	0.2731560011
224	0.2721338626
225	0.2713564297
226	0.2705680421
227	0.269853763
228	0.2692437255
229	0.2684554007
230	0.2679984768
231	0.2676778736
232	0.2670380483
233	0.2667901097
234	0.2665162441
235	0.265907368
236	0.2650513693
237	0.264703615
238	0.2641284502
239	0.2632657344
240	0.2628468378
241	0.2621461971
242	0.2617374076
243	0.2613502762
244	0.2605983465
245	0.2596094329
246	0.2589595789
247	0.2583685786
248	0.2573668897
249	0.2567357434
250	0.2555203452
251	0.2547489389
252	0.2542467369
253	0.2534645486
254	0.2527410726
255	0.2523088516
256	0.2518346011
257	0.2511827854
258	0.2505720573
259	0.2498648564
260	0.2493354091
261	0.2489971027
262	0.24822736
263	0.2477764941
264	0.2474238431
265	0.2466101249
266	0.2458911062
267	0.2454781263
268	0.2452290263
269	0.2445283542
270	0.2439079114
271	0.2434718295
272	0.243139691
273	0.242614387
274	0.2422339571
275	0.2414953048
276	0.2407847609
277	0.2402728285
278	0.2392540643
279	0.2386388633
280	0.2376825938
281	0.2371341407
282	0.2369062751
283	0.2363592973
284	0.2360580295
285	0.2354300691
286	0.2349758917
287	0.2347334932
288	0.2340694045
289	0.2336710831
290	0.2334182636
291	0.2327335212
292	0.2319681101
293	0.231420834
294	0.2306329958
295	0.2300084096
296	0.2297012721
297	0.2294775656
298	0.229038235
299	0.2283845202
300	0.227872933
301	0.2269043906
302	0.2260427263
303	0.2255309508
304	0.2252288512
305	0.2248244875
306	0.2246030095
307	0.2243502057
308	0.224027625
309	0.2234223585
310	0.2228711433
311	0.2226341593
312	0.2217725735
313	0.2215514722
314	0.2211838017
315	0.22042222
316	0.2200504691
317	0.2193099178
318	0.2190453118
319	0.2185453228
320	0.2179194497
321	0.2173829714
322	0.2165605585
323	0.2156380788
324	0.2152505238
325	0.2146779956
326	0.2143235869
327	0.2138799874
328	0.21350662
329	0.213203359
330	0.212911445
331	0.2125211591
332	0.2122536654
333	0.2117238257
334	0.2113039404
335	0.2109552915
336	0.2105695412
337	0.21018569
338	0.2100203662
339	0.2095790581
340	0.2093662904
341	0.2089472997
342	0.2080462584
343	0.2073892792
344	0.2071018851
345	0.2068600203
346	0.2065343792
347	0.2061735986
348	0.2055951066
349	0.2047446637
350	0.2042689224
351	0.2039804454
352	0.2036204495
353	0.2033245177
354	0.2023531974
355	0.2022606638
356	0.2019295768
357	0.2016976778
358	0.2014983601
359	0.2012256402
360	0.2009110009
361	0.2003868897
362	0.1998562967
363	0.1996935939
364	0.1991842353
365	0.1989567778
366	0.1980026113
367	0.1978328303
368	0.197474498
369	0.197055209
370	0.1969362462
371	0.1965768624
372	0.1962805069
373	0.1960125424
374	0.1956930849
375	0.1951473155
376	0.1948217215
377	0.1941983438
378	0.1938902804
379	0.1933571449
380	0.1927645752
381	0.1922932753
382	0.1918735469
383	0.1914706741
384	0.1910960668
385	0.1908868147
386	0.189844305
387	0.1895665158
388	0.189236653
389	0.1888407015
390	0.1884171907
391	0.1881152323
392	0.1880342497
393	0.1876962259
394	0.1873179932
395	0.1869308147
396	0.1865646667
397	0.1862095988
398	0.1859238997
399	0.1855994514
400	0.1852616315
401	0.185060258
402	0.1849111778
403	0.1844782348
404	0.1840737612
405	0.1838396807
406	0.1837035326
407	0.1834650106
408	0.1832845261
409	0.1831160007
410	0.1825163058
411	0.182228896
412	0.1819766258
413	0.1813347602
414	0.1810981843
415	0.1805807275
416	0.1800652952
417	0.1800561925
418	0.1799039578
419	0.1796620615
420	0.1794024777
421	0.1791542096
422	0.1788548408
423	0.1784763727
424	0.1781778827
425	0.1779898964
426	0.1773977347
427	0.1768599066
428	0.1764656972
429	0.1760635934
430	0.1759637934
431	0.1756154426
432	0.175535747
433	0.1750252113
434	0.1746303113
435	0.1744415559
436	0.1741942294
437	0.1738495355
438	0.1735735825
439	0.1729356876
440	0.1728135389
441	0.1725401598
442	0.172378791
443	0.1720539974
444	0.1717424655
445	0.171371154
446	0.1710633731
447	0.1707335259
448	0.170431803
449	0.1700510906
450	0.1698011431
451	0.169603803
452	0.1692964929
453	0.1691848593
454	0.1688610858
455	0.168671687
456	0.1683372414
457	0.1678969378
458	0.1674815881
459	0.1673013233
460	0.1669530981
461	0.1667835997
462	0.1665850197
463	0.1662948948
464	0.1659491022
465	0.1657286758
466	0.1654721838
467	0.1653011316
468	0.1649766676
469	0.1648074987
470	0.1644406444
471	0.1643259034
472	0.1641050845
473	0.1636830804
474	0.1633761156
475	0.1628899846
476	0.1625995929
477	0.162352596
478	0.1622603763
479	0.1619745987
480	0.1617569972
481	0.1613335963
482	0.1611144725
483	0.1609465434
484	0.1607355806
485	0.1605722971
486	0.1603925974
487	0.160299844
488	0.1601445018
489	0.1600143804
490	0.1599124773
491	0.159775058
492	0.1594445046
493	0.1592364923
494	0.1590685946
495	0.1588932422
496	0.1586855595
497	0.1584013043
498	0.1581136748
499	0.1574121395
500	0.157264362
501	0.156978553
502	0.1566744289
503	0.1562156687
504	0.1560883408
505	0.1557929113
506	0.1554512463
507	0.155231071
508	0.1548828615
509	0.154669058
510	0.1543823702
511	0.1540027878
512	0.1537787987
513	0.1533090683
514	0.1530892539
515	0.1530777343
516	0.1529436735
517	0.1526881389
518	0.1525920584
519	0.152482261
520	0.1522695405
521	0.1520407803
522	0.1517739615
523	0.1515911543
524	0.1514810117
525	0.1512128745
526	0.1510455732
527	0.1506877275
528	0.1505345354
529	0.1502532621
530	0.1499376811
531	0.1496737343
532	0.1493196394
533	0.1490098339
534	0.1486120148
535	0.1484887203
536	0.1480793815
537	0.1477705491
538	0.1472703716
539	0.1469467237
540	0.1466843778
541	0.1463422734
542	0.1462135487
543	0.1457779377
544	0.1456581588
545	0.1454945771
546	0.1452169762
547	0.1448098503
548	0.1443590786
549	0.1441543621
550	0.1439328057
551	0.1437456982
552	0.1434706555
553	0.1431601281
554	0.142935166
555	0.1427774068
556	0.142466126
557	0.1421212281
558	0.1419076443
559	0.1417406412
560	0.1415762277
561	0.1412498961
562	0.1408154935
563	0.1406437037
564	0.1405023294
565	0.1402888869
566	0.1400933987
567	0.1398228603
568	0.1396519964
569	0.1394860135
570	0.1391388398
571	0.138838137
572	0.1387480517
573	0.1385498327
574	0.1382185573
575	0.1380801022
576	0.1377453427
577	0.1375290125
578	0.1373471783
579	0.1372185321
